text,predicted_label
barang sesuai pesan cepat,Positive
barang bagus harga murah,Positive
paket rapi mantap cepat sampe,Positive
puas dgn barang,Positive
responya mantap,Positive
seller top kirim cepat barang oke,Positive
kirim cepat seller top,Positive
produk sesuai spec web respon seller cepat thankyou,Positive
respon super cepat kirim cepat barang bagus sesuai deskripsi jual thx,Positive
barang mantap layan cepat,Positive
sippp sesuai pic dscrbs blum coba,Positive
sayang produk paking rapi hambur saran klo kirim paku tembak lakban kemas paku gabung dgn cecer kualitas barang bagus coba terima kasih,Negative
barang sesuai deskripsi respon proses cepat terima kasih,Positive
mantaaaaaaaappp,Positive
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,Positive
josss pokok langgan,Positive
fungsi normal,Positive
nilai reputasi jual nilai reputasi jual langkah langkah,Positive
barang sesuai deskripsi kirim cepat pake barang bagus mantap dahh pokok thanks,Positive
sesuai deskripsi,Positive
bagus packing pake bublewrap,Positive
barang sesuai deskripsi,Positive
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,Positive
barang sesuai pesan,Positive
thanksssssssssssssss,Positive
barang bagus sesuai info fast response,Positive
barang rim cepet,Positive
barang terima thanks,Positive
paket terima terima kasih,Positive
barang bagus kecewa order,Positive
barang terima terima kasih,Positive
barang terima,Positive
sip sampe menit oke sesuai pesan gambar trimakasih kerjasamanya,Positive
sesuai deskripsi barang,Positive
produk sesuai pesan blm dcoba,Positive
proses cepat mantap,Positive
sesuai deskripsi barang,Positive
bagus sesuai dgn deskripsi thnks,Positive
produk sesuai gambar deskripsi produk bagus harga bagus recommended produk,Positive
seller good produk mantap stars,Positive
produk bagus sesuai deskripsi packing rapi kirim cepat kurir telat thanks,Positive
mahmurah mantap barang sdh sampe thanks sukses,Positive
produk terima utuh segel moga awet,Positive
sesuai order kirim cepat respon cepat,Positive
respon proses jual cepat barang sdh terima stlh kualitas barang bagus recommended seller thanks,Positive
mantap sesuai deskripsi trimakasih moga barokah jual,Positive
makasih barang sesuai,Positive
kirim cepat fast respon barang sesuai trims,Positive
produk bagus kualitas fungsi,Positive
brg terima lengkap,Positive
great product great seller,Positive
steplesnya staples mollar tembak tumpuk rekomennya mending cari mollar staples merk mollar,Negative
sesuai pesan,Positive
produk fungsi dgn,Positive
produk sesuai deskripsi coba,Positive
barang sesuai skripsi layan cepat,Positive
terima terima kasih,Positive
pesan sesuai dgn gambar,Positive
terima pakai,Positive
packing rapi respon cepat recommended,Positive
barang terima thx,Positive
barang bagus kualitas sesuai harga,Positive
terima kasih,Positive
kirim cepat barang sesuai iklan fungsi,Positive
kwalitas bagus sesuai tawar respons cepat,Positive
sesuai harap terimakasih,Positive
barang bagus layan toko muas recomend,Positive
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah diiiiteeeerimaaaaa,Negative
kirim respon super cepat tpi barang sesuai gambar kuat tembus jok motor,Negative
produk sesuai deskripsi packing rapi rekomended,Positive
sesuai denggan harga,Negative
merk kenmaster,Negative
terimakasih barang,Positive
bagus kirim cepat,Positive
siiiiiiiippppppppp,Positive
barang udh sampe mksh,Positive
terimakasih barang,Positive
fast respon terbaiks,Positive
makasih barang,Positive
bagus top kirim cepat,Positive
thanksss,Positive
merk beda gpp ukrn,Negative
bintang dahhhhh,Positive
bagus,Positive
barang terima ukur sesuai deskripsi beda kirim fungsi,Positive
barang tks,Positive
bagus terimakasih,Positive
barang samapai bagus,Positive
mantafff sesuai,Positive
barang terima,Positive
kirim cepat kemas bagus,Positive
sesuai fast respon,Positive
matab good sesuai,Positive
barang kirim sesuai pesan,Positive
barang lumayan kuat good,Positive
murah riah,Positive
terima bos packing bagus,Positive
makasih barang sesuai gambar,Positive
pakai mantap thanks maaf kasi testi,Positive
harga murah lumayan kuat pesan kmrn nyampe thanks toko besi timur jaya tokopedia wahana,Positive
,Positive
terimakasih barang sdh terima,Positive
unit thanks,Negative
barang terima kasih,Positive
nyampe jam transaksi nyampe rumah mksh,Positive
good cepat packing,Positive
barang bagus sesuai skripsi,Positive
mantap,Positive
barang nyampe makasihhhhh,Positive
recomended,Positive
barang sesuai kirim cepat,Positive
mantab fast respone,Positive
barang bagus packing kurir ramah,Positive
mantapppp banget,Positive
produk sesuai bagus thanks,Positive
php bilang skripsi beda mubajir rp50 000 cocok,Negative
terima kasih moga manfaat,Positive
barang sesuai gambar terima kondisi,Positive
trmksih juragan kerjasamanya,Positive
keren produk mantaps,Positive
barang sesuai syn gambar,Negative
barang bagus packing rapi pokok top bgt,Positive
,Positive
sesuai detail produk,Positive
barang cepat coba besok coba testi thx,Positive
fast respon barang sesuai gambar,Positive
barang bagus kirim cepat recomended,Positive
barang nyampek trimakasih,Negative
barang terima sesuai,Positive
cepet respon pagi siang udh sampe,Positive
mantab cepat kirim pesan pagi siang dteng barang bagus thx,Positive
trimsssssss,Positive
barang bagus kirim cepat,Positive
terima respon cepat,Positive
